radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Johnson_B (B),Berr,Sloan_g (SG),SGerr,Sloan_r (SR),SRerr
196.18612,0.429,-10.314409,0.503,17.398,0.015,17.917,0.194,17.783,0.111,17.64,0.148
195.878277,0.683,-10.072757,0.6,17.632,0.217,18.007,0.21,18.308,0.191,17.433,0.194
195.848984,0.632,-10.380499,0.495,17.822,0.254,18.211,0.241,17.92,0.19,17.36,0.114
195.867196,0.84,-10.154205,0.342,17.772,0.233,18.049,0.22,18.125,0.16,17.34,0.169
196.101813,0.615,-10.536232,0.327,17.136,0.133,18.468,0.287,17.858,0.164,17.33,0.183
196.245457,0.279,-10.409136,0.633,17.62,0.206,17.969,0.199,17.859,0.127,17.321,0.162
195.748596,0.559,-10.300697,0.539,17.621,0.091,17.563,0.09,17.644,0.111,17.297,0.018
196.005915,0.733,-10.484066,0.535,17.499,0.171,17.865,0.219,17.618,0.058,17.273,0.117
196.139402,0.223,-10.265101,0.303,17.373,0.165,18.212,0.247,17.757,0.032,17.248,0.154
195.755139,0.483,-10.424677,0.46,17.352,0.052,17.957,0.231,17.789,0.124,17.245,0.244
195.755678,0.569,-10.267751,0.461,17.329,0.02,18.027,0.132,17.694,0.137,17.229,0.281
195.875155,0.511,-10.121686,0.43,17.185,0.141,17.922,0.181,17.881,0.209,17.222,0.164
196.141073,0.394,-10.207683,0.278,17.536,0.069,18.242,0.078,17.647,0.038,17.221,0.052
195.850601,0.465,-10.150809,0.408,17.123,0.083,17.809,0.144,17.545,0.114,17.216,0.24
195.959041,0.517,-10.090411,0.46,17.501,0.192,17.878,0.18,17.891,0.084,17.19,0.191
196.169029,0.572,-10.269053,0.445,17.219,0.144,17.895,0.177,17.663,0.082,17.133,0.082
196.121355,0.765,-10.419944,0.307,17.446,0.172,18.355,0.258,17.724,0.011,17.123,0.011
196.13049,0.439,-10.163893,0.45,17.214,0.06,17.793,0.165,17.712,0.209,17.091,0.165
195.837666,0.385,-10.133212,0.412,17.197,0.149,18.2,0.236,17.769,0.16,17.085,0.108
196.021816,0.441,-10.574747,0.373,17.186,0.14,17.674,0.104,17.383,0.093,17.082,0.152
195.972247,0.744,-10.535723,0.288,17.114,0.137,17.972,0.242,17.602,0.105,17.07,0.13
196.137951,0.518,-10.348025,0.371,17.149,0.115,17.712,0.222,17.606,0.114,17.059,0.062
196.063062,0.523,-10.237975,0.434,16.991,0.106,17.477,0.097,17.455,0.077,17.034,0.17
196.164711,0.472,-10.211953,0.358,17.166,0.287,17.828,0.114,17.574,0.058,17.026,0.065
195.765855,0.408,-10.372126,0.438,17.492,0.192,18.059,0.217,17.786,0.061,16.926,0.088
196.093298,0.685,-10.465554,0.489,17.058,0.026,17.746,0.049,17.423,0.118,16.926,0.144
