radeg,"raerr("")",decdeg,"decerr("")",Sloan_g (SG),SGerr,Sloan_r (SR),SRerr
196.022324,0.105,-10.670893,0.415,18.152,0.161,17.961,0.268
195.648117,0.911,-10.28154,0.411,18.71,0.283,17.839,0.273
196.146535,0.442,-10.66706,0.004,17.987,0.217,17.68,0.29
196.412105,0.717,-10.316133,0.103,18.12,0.157,17.677,0.23
195.992504,0.659,-10.398378,0.035,18.178,0.159,17.647,0.222
196.18612,0.429,-10.314409,0.503,17.783,0.111,17.64,0.148
195.791426,0.245,-10.013803,0.243,18.011,0.148,17.594,0.219
195.898545,0.805,-10.361478,0.687,18.338,0.186,17.538,0.202
196.417217,0.608,-10.35677,0.352,17.986,0.037,17.527,0.011
195.84739,0.016,-10.210307,0.084,18.096,0.159,17.516,0.192
195.69677,0.824,-10.274762,0.383,17.678,0.159,17.472,0.088
196.274533,0.738,-10.629839,0.233,17.961,0.136,17.445,0.081
195.967134,0.032,-10.507868,0.373,18.602,0.225,17.441,0.183
195.708458,0.531,-10.423732,0.374,17.876,0.049,17.438,0.225
195.878277,0.683,-10.072757,0.6,18.308,0.191,17.433,0.194
195.870669,0.274,-10.684189,0.461,18.637,0.24,17.431,0.173
195.86945,0.398,-10.492611,0.228,18.187,0.238,17.431,0.023
195.863935,0.796,-10.546157,0.468,18.102,0.287,17.426,0.12
196.002425,1.226,-10.208269,0.707,18.082,0.072,17.413,0.069
196.124737,1.114,-9.956268,0.491,18.064,0.112,17.401,0.16
196.209457,0.386,-10.716864,0.399,17.697,0.106,17.399,0.092
196.398832,0.484,-10.322247,0.378,17.714,0.108,17.392,0.173
195.845236,0.798,-10.096744,0.579,18.132,0.217,17.384,0.068
195.916047,0.667,-10.611713,0.479,17.994,0.133,17.373,0.164
195.848984,0.632,-10.380499,0.495,17.92,0.19,17.36,0.114
195.693724,0.541,-10.479005,0.342,17.483,0.068,17.356,0.133
196.279353,0.48,-10.577862,0.349,17.932,0.08,17.351,0.172
196.187264,0.96,-10.722116,0.466,17.969,0.084,17.348,0.26
195.960615,0.368,-10.287343,0.527,17.895,0.159,17.342,0.09
195.867196,0.84,-10.154205,0.342,18.125,0.16,17.34,0.169
196.068883,0.237,-10.374136,0.07,18.102,0.17,17.336,0.175
195.785863,0.063,-10.498352,0.482,18.892,0.303,17.333,0.172
196.101813,0.615,-10.536232,0.327,17.858,0.164,17.33,0.183
196.245457,0.279,-10.409136,0.633,17.859,0.127,17.321,0.162
196.317621,0.562,-10.002099,0.565,17.96,0.155,17.319,0.06
196.202664,0.584,-10.404845,0.531,18.074,0.223,17.316,0.034
196.250613,0.631,-10.498073,0.287,17.713,0.116,17.315,0.169
196.034273,0.821,-10.403282,0.297,17.751,0.237,17.313,0.138
196.402416,0.687,-10.309668,0.618,17.831,0.099,17.31,0.126
196.367478,0.417,-10.132871,0.219,18.056,0.239,17.298,0.177
195.748596,0.559,-10.300697,0.539,17.644,0.111,17.297,0.018
196.279857,0.659,-10.502111,0.486,17.8,0.034,17.278,0.112
196.30508,0.371,-10.424212,0.454,17.631,0.046,17.277,0.157
196.005915,0.733,-10.484066,0.535,17.618,0.058,17.273,0.117
195.901933,0.595,-10.496859,0.558,18.333,0.129,17.27,0.03
195.979276,0.834,-9.993419,0.582,17.795,0.125,17.257,0.032
196.145648,0.433,-9.92429,0.347,17.822,0.177,17.255,0.156
