radeg,"raerr("")",decdeg,"decerr("")",Sloan_g (SG),SGerr,Sloan_r (SR),SRerr
196.053775,0.374,-10.236218,0.352,18.263,0.093,16.903,0.136
195.997202,0.533,-10.474348,0.258,18.231,0.135,16.74,0.101
195.941154,0.596,-10.400273,0.263,18.186,0.151,16.744,0.099
195.992504,0.659,-10.398378,0.035,18.178,0.159,17.647,0.222
196.145329,0.786,-10.231931,0.343,18.149,0.01,17.056,0.096
196.141916,0.7,-10.271126,0.35,18.125,0.164,17.055,0.178
196.068883,0.237,-10.374136,0.07,18.102,0.17,17.336,0.175
196.002425,1.226,-10.208269,0.707,18.082,0.072,17.413,0.069
196.202664,0.584,-10.404845,0.531,18.074,0.223,17.316,0.034
195.994003,0.24,-10.356274,0.568,18.042,0.048,17.207,0.011
195.960615,0.368,-10.287343,0.527,17.895,0.159,17.342,0.09
195.906431,0.37,-10.352056,0.291,17.894,0.1,16.551,0.106
196.198193,0.494,-10.38944,0.349,17.864,0.065,17.17,0.102
196.245457,0.279,-10.409136,0.633,17.859,0.127,17.321,0.162
195.968109,0.5,-10.457176,0.374,17.855,0.127,17.094,0.239
196.106356,0.724,-10.303092,0.395,17.847,0.166,16.668,0.094
196.18612,0.429,-10.314409,0.503,17.783,0.111,17.64,0.148
196.139402,0.223,-10.265101,0.303,17.757,0.032,17.248,0.154
196.100164,0.652,-10.180899,0.598,17.756,0.137,16.977,0.183
196.034273,0.821,-10.403282,0.297,17.751,0.237,17.313,0.138
196.121355,0.765,-10.419944,0.307,17.724,0.011,17.123,0.011
196.13049,0.439,-10.163893,0.45,17.712,0.209,17.091,0.165
196.245196,0.299,-10.258162,0.392,17.677,0.16,16.877,0.14
196.169029,0.572,-10.269053,0.445,17.663,0.082,17.133,0.082
196.141073,0.394,-10.207683,0.278,17.647,0.038,17.221,0.052
196.005915,0.733,-10.484066,0.535,17.618,0.058,17.273,0.117
196.137951,0.518,-10.348025,0.371,17.606,0.114,17.059,0.062
196.164711,0.472,-10.211953,0.358,17.574,0.058,17.026,0.065
196.063062,0.523,-10.237975,0.434,17.455,0.077,17.034,0.17
196.061052,0.253,-10.437848,0.331,17.437,0.068,16.851,0.164
196.093298,0.685,-10.465554,0.489,17.423,0.118,16.926,0.144
195.971341,0.363,-10.333488,0.348,17.405,0.075,16.907,0.081
196.269322,0.654,-10.31146,0.349,17.401,0.104,16.909,0.096
196.190962,0.551,-10.298615,0.353,17.299,0.07,16.834,0.184
196.147417,0.754,-10.196912,0.43,17.233,0.072,16.651,0.055
196.176504,0.41,-10.229093,0.36,17.198,0.061,16.68,0.075
196.081648,0.308,-10.340214,0.302,17.134,0.039,16.358,0.011
196.220709,0.645,-10.282148,0.367,17.074,0.086,16.328,0.066
196.106468,0.407,-10.471837,0.273,17.059,0.055,16.284,0.079
196.071414,0.502,-10.489892,0.316,17.056,0.111,16.365,0.091
196.253225,0.535,-10.386146,0.324,17.017,0.042,16.514,0.075
196.241095,0.253,-10.435061,0.268,16.985,0.073,15.561,0.096
196.133356,0.351,-10.512347,0.258,16.952,0.049,16.028,0.112
196.154751,0.435,-10.458465,0.382,16.935,0.027,16.487,0.099
196.177607,0.467,-10.420659,0.229,16.907,0.046,16.473,0.055
196.124561,0.321,-10.498901,0.173,16.901,0.036,15.484,0.057
195.969016,0.224,-10.400741,0.314,16.802,0.059,15.411,0.064
196.036624,0.268,-10.253005,0.218,16.613,0.055,16.02,0.048
196.048412,0.315,-10.394205,0.247,16.59,0.05,16.102,0.061
196.167564,0.373,-10.385188,0.176,16.571,0.025,15.518,0.037
196.253735,0.285,-10.325798,0.203,16.553,0.041,15.954,0.065
196.268301,0.352,-10.403598,0.235,16.521,0.015,16.006,0.064
196.14901,0.351,-10.17791,0.188,16.458,0.039,15.7,0.038
196.154625,0.265,-10.463377,0.237,16.44,0.033,16.003,0.041
196.186535,0.278,-10.242163,0.375,16.419,0.03,15.988,0.048
195.975428,0.479,-10.319634,0.235,16.413,0.046,15.942,0.062
196.09199,0.193,-10.341737,0.229,16.359,0.068,15.729,0.042
196.00754,0.335,-10.254564,0.145,16.342,0.038,16.022,0.046
195.941023,0.235,-10.34823,0.162,16.328,0.065,15.597,0.056
196.081558,0.34,-10.419457,0.276,16.328,0.06,15.356,0.056
196.248981,0.456,-10.284965,0.233,16.328,0.025,16.017,0.097
195.965174,0.245,-10.283204,0.234,16.326,0.039,15.652,0.048
196.14793,0.304,-10.38869,0.232,16.266,0.022,15.861,0.045
196.162629,0.26,-10.265068,0.216,16.26,0.014,15.915,0.066
196.077515,0.277,-10.342606,0.23,16.257,0.058,15.666,0.031
196.075776,0.277,-10.491847,0.312,16.254,0.037,15.686,0.02
195.922461,0.247,-10.378375,0.176,16.237,0.031,15.728,0.084
196.082961,0.189,-10.295836,0.136,16.197,0.051,15.073,0.03
196.095674,0.424,-10.201118,0.222,16.184,0.049,15.98,0.07
196.012299,0.296,-10.340619,0.342,16.082,0.057,15.407,0.052
195.978651,0.255,-10.454929,0.155,16.068,0.055,15.67,0.067
196.041451,0.186,-10.486178,0.123,16.051,0.034,14.794,0.025
196.098452,0.267,-10.494504,0.143,16.048,0.023,15.414,0.047
196.116194,0.305,-10.173866,0.196,16.001,0.052,15.541,0.059
196.026226,0.302,-10.25563,0.183,15.923,0.027,15.422,0.042
196.094203,0.194,-10.370799,0.144,15.914,0.054,15.128,0.041
196.082171,0.329,-10.423226,0.236,15.894,0.052,14.795,0.039
196.164857,0.16,-10.338373,0.196,15.866,0.007,15.341,0.069
196.037569,0.222,-10.443249,0.179,15.771,0.029,15.058,0.044
196.153851,0.15,-10.250607,0.16,15.747,0.035,15.294,0.052
196.212485,0.167,-10.306396,0.13,15.74,0.024,15.25,0.065
196.047102,0.261,-10.318227,0.134,15.644,0.045,14.994,0.029
196.222386,0.119,-10.262631,0.138,15.627,0.034,15.127,0.052
195.972334,0.396,-10.285575,0.18,15.58,0.025,15.224,0.057
196.212569,0.163,-10.463312,0.185,15.527,0.009,15.014,0.033
196.208407,0.163,-10.477493,0.152,15.502,0.032,15.152,0.033
196.261206,0.319,-10.247188,0.162,15.461,0.023,15.101,0.025
195.913522,0.373,-10.358693,0.303,15.358,0.034,14.328,0.016
196.070193,0.218,-10.164657,0.206,15.357,0.031,14.739,0.029
196.261267,0.347,-10.30534,0.267,15.348,0.04,14.707,0.044
195.944579,0.23,-10.321691,0.189,15.337,0.019,14.558,0.03
195.979963,0.13,-10.230217,0.194,15.271,0.015,14.765,0.017
195.987525,0.219,-10.442327,0.248,15.264,0.035,14.541,0.053
196.261245,0.286,-10.395431,0.347,15.227,0.044,14.691,0.017
195.975138,0.151,-10.400688,0.449,14.976,0.04,14.34,0.035
195.949531,0.373,-10.3847,0.302,14.975,0.008,14.254,0.025
196.080114,0.251,-10.474338,0.203,14.929,0.03,14.394,0.009
195.983955,0.365,-10.319167,0.325,14.847,0.019,13.552,0.035
196.253936,0.403,-10.416984,0.409,14.835,0.006,14.179,0.03
196.115422,0.183,-10.392991,0.305,14.834,0.008,14.448,0.036
196.020339,0.262,-10.394065,0.166,14.511,0.012,14.177,0.033
195.926978,0.219,-10.314228,0.318,14.505,0.025,14.054,0.026
196.176902,0.353,-10.427758,0.307,14.451,0.014,13.996,0.038
196.059793,0.631,-10.339628,1.132,14.4,0.022,13.535,0.032
195.98719,0.317,-10.286314,0.227,14.388,0.023,13.919,0.037
196.224184,0.45,-10.239304,0.241,14.333,0.012,13.816,0.033
196.276746,0.453,-10.310547,0.2,14.292,0.01,13.782,0.016
196.032891,0.265,-10.287267,0.333,14.088,0.03,13.477,0.026
196.11156,0.219,-10.49663,0.164,13.185,0.003,12.531,0.024
196.242471,0.227,-10.299532,0.155,12.98,0.016,12.154,0.033
196.241162,0.127,-10.429899,0.145,12.905,0.012,12.469,0.023
196.024484,0.153,-10.423624,0.15,12.864,0.01,12.098,0.018
196.180487,0.163,-10.220526,0.09,12.075,0.033,11.266,0.021
196.100986,0.141,-10.439973,0.098,12.069,0.016,11.721,0.022
196.173186,0.139,-10.371864,0.089,11.656,0.109,11.174,0.023
196.240914,0.141,-10.304838,0.15,11.344,0.086,10.769,0.034
