radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
195.614614,0.466,-10.310157,0.396,16.826,0.107,5,17.546,0.194,5,NA,NA,0,17.114,0.066,5,16.616,0.133,5,16.301,0.131,3,NA,NA,0,NA,NA,0
195.619317,0.279,-10.299907,0.191,15.911,0.059,5,17.004,0.097,5,NA,NA,0,16.493,0.06,5,15.508,0.027,5,15.109,0.072,5,NA,NA,0,NA,NA,0
195.62118,0.209,-10.264541,0.101,10.253,0.016,8,10.957,0.049,6,NA,NA,0,10.729,0.21,8,10.083,0.02,8,9.953,0.052,3,9.906,0.038,3,NA,NA,0
195.639561,0.404,-10.430051,0.301,16.059,0.061,5,17.376,0.129,5,NA,NA,0,16.77,0.077,5,15.595,0.05,5,15.159,0.129,5,NA,NA,0,NA,NA,0
195.639982,0.149,-10.384686,0.177,15.175,0.017,5,15.921,0.053,5,NA,NA,0,15.564,0.034,5,15.005,0.033,5,14.81,0.077,5,NA,NA,0,NA,NA,0
195.645359,0.227,-10.359112,0.306,13.749,0.03,5,14.85,0.022,5,NA,NA,0,14.301,0.031,5,13.352,0.049,5,12.931,0.04,5,12.656,0.042,3,NA,NA,0
195.646369,0.336,-10.226626,0.229,16.1,0.047,5,16.799,0.151,5,NA,NA,0,16.379,0.013,5,15.936,0.043,5,15.847,0.086,5,NA,NA,0,NA,NA,0
195.648117,0.911,-10.28154,0.411,NA,NA,0,NA,NA,0,NA,NA,0,18.71,0.283,1,17.839,0.273,1,NA,NA,0,NA,NA,0,NA,NA,0
195.650096,0.463,-10.476442,0.351,17.083,0.112,2,17.741,0.015,2,NA,NA,0,17.245,0.08,5,16.755,0.143,5,16.28,0.288,3,NA,NA,0,NA,NA,0
195.655047,0.274,-10.264922,0.24,16.548,0.07,5,16.463,0.089,5,NA,NA,0,16.392,0.091,5,16.678,0.092,5,16.762,0.259,1,NA,NA,0,NA,NA,0
195.658971,0.28,-10.450535,0.22,16.079,0.08,5,16.745,0.179,5,NA,NA,0,16.419,0.054,5,15.875,0.071,5,15.805,0.07,5,NA,NA,0,NA,NA,0
195.661716,0.218,-10.143326,0.236,15.358,0.03,5,15.98,0.072,5,NA,NA,0,15.626,0.019,5,15.191,0.051,5,15.017,0.104,5,NA,NA,0,NA,NA,0
195.674196,0.818,-10.535862,0.54,16.981,0.128,4,17.563,0.051,4,NA,NA,0,17.246,0.081,4,16.862,0.178,4,16.272,0.125,3,NA,NA,0,NA,NA,0
195.674495,0.365,-10.38106,0.479,16.809,0.202,5,17.455,0.112,5,NA,NA,0,17.064,0.102,5,16.565,0.042,5,16.375,0.22,3,NA,NA,0,NA,NA,0
195.679142,0.349,-10.551477,0.278,16.302,0.082,5,17.213,0.087,5,NA,NA,0,16.733,0.065,5,16.092,0.034,5,15.775,0.124,5,NA,NA,0,NA,NA,0
195.681254,0.374,-10.334355,0.195,16.277,0.053,5,17.166,0.138,5,NA,NA,0,16.69,0.056,5,16.054,0.061,5,15.909,0.215,5,NA,NA,0,NA,NA,0
195.681398,0.448,-10.433157,0.441,17.038,0.133,3,17.73,0.148,3,NA,NA,0,17.252,0.085,5,16.864,0.112,5,16.413,0.052,2,NA,NA,0,NA,NA,0
195.683214,0.965,-10.112486,0.465,17.323,0.168,1,18.12,0.237,1,NA,NA,0,17.762,0.083,2,16.834,0.081,2,16.294,0.198,2,NA,NA,0,NA,NA,0
195.68432,0.468,-10.354645,0.285,16.433,0.117,5,17.028,0.066,5,NA,NA,0,16.655,0.036,5,16.196,0.107,5,16.058,0.218,5,NA,NA,0,NA,NA,0
195.684838,0.553,-10.533492,0.372,16.701,0.089,5,17.885,0.285,5,NA,NA,0,17.213,0.063,5,16.42,0.045,5,16.077,0.112,5,NA,NA,0,NA,NA,0
195.68715,0.802,-10.446408,0.44,17.115,0.134,2,18.01,0.014,2,NA,NA,0,17.494,0.088,5,16.781,0.093,5,16.315,0.215,3,NA,NA,0,NA,NA,0
195.687239,0.437,-10.110503,0.264,15.703,0.063,5,16.457,0.06,5,NA,NA,0,16.103,0.042,5,15.481,0.062,5,15.323,0.095,5,NA,NA,0,NA,NA,0
195.692027,0.385,-10.372222,0.452,16.923,0.103,4,17.525,0.159,4,NA,NA,0,17.072,0.069,5,16.649,0.115,5,16.452,0.243,3,NA,NA,0,NA,NA,0
