radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Johnson_B (B),Berr
29.62221,0.448,37.632071,0.45,16.271,0.164,16.839,0.141
29.362912,0.607,38.039405,1.203,16.268,0.046,16.953,0.051
29.281965,0.677,37.966475,0.412,16.245,0.112,16.839,0.079
29.509894,0.649,37.86766,0.895,16.241,0.094,17.256,0.17
29.687286,0.487,37.63503,0.449,16.237,0.102,17.104,0.194
29.686814,0.419,37.938674,0.368,16.234,0.105,17.341,0.15
29.797699,0.423,37.701181,0.347,16.234,0.155,17.006,0.125
29.301224,0.663,37.666034,0.38,16.231,0.074,16.707,0.122
29.569979,0.528,37.961446,0.471,16.213,0.057,17.092,0.116
29.297786,0.509,37.647444,0.722,16.212,0.065,16.709,0.149
29.450745,0.563,37.774388,0.436,16.204,0.062,17.084,0.122
29.195124,0.439,37.777309,0.329,16.177,0.047,16.685,0.079
29.815765,0.364,37.873311,0.434,16.17,0.049,16.778,0.139
29.622802,0.437,37.692494,0.455,16.16,0.141,16.779,0.049
29.62327,0.582,38.046778,0.533,16.148,0.068,16.983,0.15
29.510985,0.911,37.577935,0.548,16.143,0.088,16.936,0.072
29.354499,0.321,37.730516,0.357,16.138,0.118,16.907,0.11
29.687841,0.445,37.742597,0.372,16.138,0.063,16.688,0.062
29.568871,0.388,37.66108,0.252,16.13,0.078,16.667,0.08
29.442475,0.725,37.710076,0.962,16.128,0.103,16.854,0.143
29.594111,0.638,38.031986,0.485,16.127,0.124,16.74,0.055
29.322087,0.52,37.775657,0.622,16.114,0.093,16.976,0.071
29.631713,0.4,37.679271,0.336,16.098,0.065,16.839,0.138
29.216863,0.454,37.7403,0.238,16.089,0.061,16.849,0.129
29.623735,0.514,38.020554,0.368,16.079,0.075,16.817,0.145
29.53544,0.588,37.747974,0.405,16.049,0.075,16.583,0.086
29.300234,0.461,37.909937,0.295,16.044,0.163,16.861,0.124
29.664207,0.721,37.65667,0.836,16.039,0.121,16.753,0.147
29.420399,0.849,37.648177,0.742,16.038,0.064,17.318,0.124
29.20566,0.524,37.931345,0.356,16.038,0.064,16.898,0.074
29.685047,0.341,37.692268,0.789,16.035,0.12,16.859,0.164
29.502847,0.569,37.776082,0.447,16.016,0.145,16.459,0.106
29.632434,0.568,37.966964,0.418,16.013,0.141,16.696,0.164
29.562157,0.497,37.824115,0.357,16.008,0.095,16.927,0.106
29.261145,0.439,37.75317,0.319,16.006,0.093,16.749,0.037
29.311388,0.506,37.890781,0.265,15.999,0.055,16.723,0.094
29.31314,0.463,38.04548,0.389,15.998,0.085,16.649,0.053
29.765606,0.384,37.820878,0.387,15.978,0.107,17.143,0.145
29.605176,0.69,38.055583,0.457,15.973,0.101,16.567,0.08
29.332889,0.457,37.621682,0.358,15.968,0.047,16.592,0.084
29.445382,0.392,37.636701,0.383,15.954,0.066,16.673,0.118
29.550629,0.35,37.732033,0.365,15.953,0.093,16.583,0.059
29.265896,0.478,37.9158,0.351,15.95,0.031,16.778,0.066
29.654522,0.6,37.687152,0.391,15.949,0.095,16.722,0.092
29.346734,0.332,37.629377,0.35,15.942,0.031,16.608,0.046
29.284748,0.695,37.99824,0.667,15.937,0.091,17.338,0.11
29.635612,0.584,38.040379,0.386,15.936,0.051,16.735,0.074
29.512091,0.535,37.706459,0.401,15.932,0.071,16.511,0.078
29.26416,0.345,37.657671,0.285,15.923,0.052,17.061,0.107
29.592217,0.397,37.692344,0.367,15.907,0.099,17.239,0.117
29.550489,0.584,38.075037,0.492,15.901,0.075,16.53,0.083
29.608835,0.428,37.937781,0.386,15.897,0.055,17.356,0.041
29.691195,0.4,37.677989,0.598,15.883,0.053,16.484,0.047
29.518113,0.388,37.603735,0.355,15.88,0.058,16.97,0.12
29.486791,0.481,37.758964,0.414,15.866,0.06,16.464,0.106
29.645663,0.452,37.936755,0.356,15.858,0.064,16.78,0.06
29.547133,0.407,37.879572,0.302,15.834,0.069,16.39,0.1
29.550562,0.527,38.03491,0.407,15.801,0.104,16.528,0.113
29.830086,0.391,37.777252,0.363,15.8,0.089,16.42,0.068
29.261618,0.329,37.80403,0.453,15.792,0.093,16.87,0.072
29.620748,0.356,37.729536,0.26,15.786,0.073,16.554,0.106
29.797909,0.351,37.692278,0.212,15.76,0.077,16.777,0.181
29.207814,0.449,37.853615,0.442,15.759,0.085,17.282,0.034
29.310053,1.326,37.833869,0.367,15.718,0.063,16.57,0.022
29.608119,0.48,38.033961,0.309,15.708,0.091,16.511,0.112
29.713733,0.47,37.949682,0.35,15.706,0.043,16.387,0.067
29.393841,0.341,37.595496,0.21,15.701,0.028,16.223,0.065
29.481755,0.366,37.5885,0.316,15.681,0.082,16.277,0.09
29.369768,0.576,37.999888,0.257,15.672,0.072,16.686,0.11
29.57554,0.406,37.604853,0.292,15.667,0.094,16.509,0.079
29.427779,0.825,37.651179,0.203,15.661,0.195,16.709,0.215
29.342647,0.34,37.981509,0.378,15.641,0.086,16.471,0.084
29.732627,0.44,37.746306,0.703,15.636,0.075,16.638,0.11
29.52037,0.333,37.614947,0.257,15.634,0.089,16.34,0.065
29.195929,0.238,37.675122,0.304,15.626,0.059,16.729,0.066
29.66247,0.315,37.605646,0.211,15.624,0.099,16.272,0.072
29.490331,0.568,37.992791,0.672,15.622,0.084,17.024,0.175
29.822212,0.266,37.879313,0.23,15.612,0.037,16.473,0.113
29.729272,0.399,37.83947,0.341,15.587,0.064,16.322,0.097
29.425955,0.363,37.796636,0.323,15.586,0.084,16.183,0.078
29.594747,0.249,37.66144,0.267,15.585,0.073,16.566,0.085
29.345226,0.724,37.881664,0.562,15.575,0.096,16.2,0.039
29.532681,0.307,37.610004,0.25,15.57,0.073,16.19,0.059
29.699089,0.304,37.815389,0.223,15.568,0.107,16.189,0.099
29.370334,0.311,37.783853,0.268,15.567,0.061,16.389,0.045
29.462295,0.351,37.717071,0.324,15.551,0.06,16.332,0.062
29.703069,0.298,37.783599,0.248,15.535,0.078,16.643,0.084
29.454116,0.519,38.03579,0.363,15.525,0.08,16.128,0.051
29.34729,0.827,37.884624,0.508,15.505,0.131,16.566,0.086
29.733378,0.39,37.936241,0.385,15.502,0.057,16.465,0.031
29.455677,0.246,37.810908,0.294,15.495,0.039,16.287,0.076
29.759887,0.226,37.786649,0.229,15.494,0.098,16.638,0.128
29.391636,0.491,37.808032,0.261,15.493,0.094,16.241,0.083
29.829609,0.24,37.825966,0.159,15.48,0.03,16.183,0.071
29.429372,0.319,37.708898,0.333,15.46,0.056,16.142,0.063
29.420269,0.605,38.057346,0.41,15.457,0.046,15.989,0.041
29.387634,0.32,37.557725,0.226,15.447,0.043,16.189,0.044
29.654151,0.317,37.921495,0.347,15.444,0.06,16.364,0.048
29.217615,0.228,37.914564,0.225,15.435,0.058,16.335,0.112
29.453742,0.336,37.695579,0.275,15.417,0.08,16.389,0.083
29.161546,0.428,37.74449,0.41,15.412,0.047,16.033,0.053
29.260087,0.277,37.829271,0.189,15.412,0.033,15.962,0.04
29.670143,0.56,38.042376,0.382,15.409,0.071,15.986,0.069
29.26962,0.324,37.959269,0.236,15.401,0.047,16.075,0.054
29.546264,0.277,37.798272,0.28,15.395,0.058,16.434,0.071
29.540964,0.192,37.625828,0.174,15.395,0.062,16.294,0.091
29.471285,0.303,37.757139,0.275,15.389,0.057,16.132,0.094
29.362547,0.284,37.975009,0.287,15.375,0.053,16.729,0.045
29.556212,0.222,37.563435,0.255,15.375,0.085,16.191,0.099
29.727873,0.105,37.807316,0.21,15.371,0.06,16.136,0.085
29.431323,0.417,37.917348,0.196,15.357,0.052,16.034,0.063
29.437672,0.788,37.90717,0.47,15.348,0.067,15.945,0.091
29.597999,0.253,37.729381,0.264,15.317,0.035,16.006,0.043
29.440186,0.575,37.708237,0.612,15.314,0.071,15.865,0.111
29.767623,0.235,37.837353,0.306,15.306,0.053,15.98,0.063
29.749078,0.15,37.921771,0.276,15.306,0.078,15.93,0.064
29.184621,0.318,37.879588,0.186,15.289,0.056,16.15,0.076
29.652867,0.241,37.784065,0.215,15.289,0.056,15.923,0.075
29.222501,0.281,37.897261,0.216,15.283,0.031,16.346,0.052
29.535758,0.351,37.92199,0.23,15.237,0.063,15.842,0.079
29.297487,0.217,37.643297,0.19,15.229,0.061,15.7,0.029
29.406278,0.578,38.060036,0.354,15.227,0.054,15.793,0.026
29.568462,0.25,37.840445,0.208,15.223,0.056,16.003,0.088
29.322055,0.48,37.905824,0.289,15.22,0.065,16.193,0.024
29.340766,0.893,37.708822,0.481,15.205,0.109,15.813,0.039
29.48449,0.393,37.971121,0.234,15.197,0.038,15.807,0.087
29.58565,0.437,38.046401,0.25,15.196,0.064,15.816,0.054
29.559677,0.586,38.05781,0.339,15.19,0.068,16,0.073
29.773982,0.222,37.66577,0.19,15.172,0.042,15.747,0.053
29.604898,0.45,37.979008,0.249,15.164,0.055,15.635,0.047
29.645538,0.226,37.839946,0.699,15.156,0.058,15.842,0.07
29.730219,0.234,37.617215,0.2,15.152,0.077,15.869,0.076
29.510193,0.153,37.671881,0.376,15.133,0.045,16.079,0.005
29.261652,0.223,37.948198,0.109,15.128,0.041,15.693,0.034
29.560135,0.247,37.689497,0.21,15.124,0.061,15.962,0.057
29.522029,0.411,38.004355,0.251,15.123,0.067,15.679,0.043
29.50647,0.282,37.831507,0.192,15.052,0.057,15.429,0.04
29.455811,0.326,37.878284,0.761,15.037,0.054,15.537,0.045
29.490276,0.303,37.812326,0.223,15.018,0.067,15.69,0.045
29.826414,0.411,37.834064,0.449,14.997,0.129,15.664,0.029
29.70521,0.338,37.971677,0.319,14.987,0.052,15.934,0.063
29.314942,0.205,37.629426,0.165,14.982,0.061,15.618,0.027
29.7005,0.19,37.766107,0.184,14.938,0.05,15.729,0.046
29.649472,0.688,37.768677,0.459,14.933,0.055,15.956,0.087
29.489289,0.474,38.025453,0.289,14.932,0.056,15.987,0.074
29.446396,0.493,38.047318,0.333,14.907,0.061,15.703,0.049
29.256462,0.177,37.646049,0.126,14.907,0.046,15.693,0.033
29.606029,0.284,37.755038,0.227,14.899,0.048,15.534,0.067
29.437151,0.322,37.722067,0.164,14.892,0.045,16.14,0.073
29.27674,0.226,37.65848,0.169,14.89,0.035,15.812,0.076
29.209124,0.215,37.918124,0.159,14.838,0.028,15.509,0.036
29.49015,0.246,37.850981,0.187,14.835,0.049,15.588,0.048
29.607826,0.216,37.763961,0.217,14.834,0.056,15.864,0.071
29.811298,0.141,37.78667,0.134,14.819,0.043,15.324,0.063
29.209886,0.206,37.970835,0.081,14.818,0.044,15.466,0.028
29.544952,0.394,37.982733,0.224,14.805,0.051,15.43,0.027
29.657642,0.396,38.010517,0.23,14.787,0.058,15.655,0.052
29.430624,0.404,37.945799,0.221,14.762,0.038,15.543,0.072
29.383596,0.327,37.961266,0.223,14.656,0.061,15.424,0.02
29.523227,0.305,37.577893,0.226,14.654,0.056,15.685,0.047
29.65854,0.344,37.989441,0.285,14.628,0.057,15.179,0.04
29.391958,0.247,37.774866,0.144,14.618,0.053,15.2,0.015
29.206306,0.151,37.801437,0.125,14.582,0.028,15.65,0.032
29.708185,0.365,37.996187,0.289,14.543,0.047,15.529,0.059
29.188023,0.379,37.796043,0.11,14.515,0.058,15.523,0.033
29.665547,0.776,37.913369,0.51,14.488,0.092,15.336,0.065
29.341226,0.113,37.613662,0.119,14.483,0.033,15.285,0.035
29.542798,0.18,37.589546,0.129,14.447,0.041,15.771,0.061
29.634306,0.146,37.586014,0.147,14.447,0.049,15.345,0.041
29.505571,0.171,37.760469,0.193,14.425,0.054,14.985,0.031
29.50106,0.34,37.953087,0.229,14.42,0.046,15.005,0.03
29.67487,0.277,37.668015,0.154,14.375,0.046,15.657,0.051
29.258221,0.168,37.985797,0.102,14.347,0.034,15.07,0.021
29.219367,0.176,37.814254,0.123,14.336,0.051,14.89,0.046
29.603679,0.132,37.591761,0.132,14.287,0.048,14.995,0.045
29.623856,0.237,37.837397,0.265,14.278,0.043,14.869,0.053
29.150905,0.117,37.791114,0.129,14.236,0.043,14.864,0.03
29.573996,0.132,37.564841,0.122,14.217,0.044,14.92,0.057
29.399647,0.454,37.973013,0.27,14.207,0.05,15.231,0.038
29.787419,0.129,37.893995,0.095,14.166,0.049,14.754,0.059
29.592997,0.201,37.722721,0.15,14.165,0.052,15.047,0.046
29.323653,0.176,37.835021,0.104,14.142,0.047,14.69,0.025
29.29325,0.134,37.887922,0.093,14.127,0.039,14.767,0.021
29.323551,0.094,37.888979,0.091,14.127,0.039,14.729,0.014
29.266796,0.476,37.619659,0.157,14.11,0.041,14.969,0.02
29.687719,0.289,37.945531,0.243,14.107,0.057,15.152,0.033
29.261047,0.136,38.006905,0.115,14.09,0.041,15.018,0.034
29.381895,0.106,37.684133,0.107,14.08,0.055,15.091,0.032
29.326533,0.103,37.876225,0.073,14.08,0.035,14.849,0.022
29.464278,0.238,37.664644,0.219,14.078,0.061,14.903,0.059
29.40827,0.294,37.791441,0.152,14.068,0.047,14.983,0.032
29.395006,0.159,37.627889,0.131,14.061,0.056,14.589,0.035
29.316295,0.764,37.903619,0.466,14.015,0.087,14.935,0.032
29.82519,0.225,37.830417,0.212,14,0.065,14.818,0.043
29.412151,0.276,37.762149,0.204,13.995,0.023,14.997,0.033
29.587739,0.812,38.009896,0.201,13.95,0.046,14.758,0.054
29.385682,0.099,37.701566,0.106,13.913,0.048,14.724,0.026
29.284218,0.119,37.802058,0.097,13.885,0.042,14.383,0.023
29.336443,0.375,37.710267,0.124,13.877,0.028,14.522,0.021
29.515492,0.384,37.979925,0.258,13.874,0.06,14.881,0.058
29.591647,0.12,37.556974,0.103,13.855,0.048,14.531,0.037
29.153634,0.086,37.753528,0.079,13.833,0.036,14.612,0.021
29.738816,0.078,37.661335,0.096,13.804,0.059,14.72,0.05
29.684846,0.122,37.644353,0.08,13.78,0.045,14.475,0.041
29.640231,0.371,38.007994,0.219,13.735,0.052,14.513,0.045
29.831567,0.102,37.767231,0.078,13.725,0.052,14.688,0.047
29.670164,0.407,37.913511,0.308,13.709,0.05,14.371,0.036
29.212292,0.108,37.948091,0.067,13.698,0.042,14.509,0.019
29.358986,0.104,37.682131,0.095,13.691,0.036,14.163,0.021
29.283639,0.186,37.815698,0.142,13.664,0.036,14.272,0.013
29.601909,0.151,37.776801,0.14,13.622,0.045,14.485,0.043
29.389544,0.268,37.833866,0.233,13.599,0.052,14.684,0.047
29.65613,0.205,37.915442,0.182,13.591,0.038,14.337,0.038
29.643357,0.1,37.670878,0.086,13.591,0.051,14.329,0.036
29.598669,0.403,38.026694,0.264,13.562,0.051,14.549,0.041
29.289795,0.096,37.854458,0.092,13.536,0.055,14.657,0.02
29.507139,0.22,37.749873,0.188,13.529,0.052,14.995,0.045
29.445067,0.351,37.983642,0.192,13.52,0.06,13.963,0.057
29.293171,0.08,37.606023,0.09,13.446,0.043,13.994,0.01
29.575593,0.277,37.949718,0.186,13.389,0.033,14.151,0.045
29.311286,0.478,37.90303,0.262,13.387,0.036,14.114,0.016
29.605214,0.204,37.874075,0.164,13.365,0.043,14.189,0.028
29.601517,0.328,37.86719,0.424,13.341,0.056,14.237,0.047
29.563817,0.094,37.555438,0.069,13.206,0.057,13.908,0.036
29.570532,0.136,37.648526,0.096,13.2,0.051,13.714,0.038
29.478657,0.223,37.798188,0.115,13.155,0.048,13.659,0.034
29.476555,0.209,37.716982,0.141,13.136,0.06,14.262,0.036
29.612493,0.166,37.876685,0.138,13.13,0.051,13.666,0.045
29.345735,0.058,37.639254,0.066,13.117,0.038,13.879,0.012
29.407293,0.335,37.830709,0.144,13.116,0.048,13.893,0.04
29.321703,0.091,37.681059,0.064,13.077,0.041,13.622,0.011
29.586851,0.136,37.685705,0.185,13.053,0.048,13.618,0.035
29.27278,0.076,37.845217,0.047,13.029,0.039,13.748,0.018
29.52618,0.129,37.635167,0.115,13.024,0.046,13.705,0.034
29.238053,0.083,37.946257,0.088,12.981,0.047,14.024,0.026
29.300429,0.078,37.903956,0.073,12.935,0.042,13.375,0.011
29.517612,0.203,37.836368,0.119,12.922,0.049,13.431,0.04
29.722848,0.342,37.986664,0.254,12.899,0.055,13.656,0.032
29.329048,0.142,37.652995,0.089,12.892,0.038,13.911,0.018
29.607968,0.307,37.946957,0.231,12.877,0.046,14.021,0.046
29.511584,0.421,38.041735,0.231,12.84,0.042,13.463,0.043
29.740347,0.105,37.640943,0.063,12.764,0.071,13.355,0.04
29.27161,0.069,38.005877,0.059,12.713,0.045,13.17,0.018
29.300473,0.072,37.968349,0.048,12.627,0.038,13.139,0.012
29.602155,0.293,37.963952,0.184,12.603,0.051,13.252,0.033
