radeg,decdeg,Johnson_V (V),Johnson_B (B)
29.556212,37.563435,15.375,16.191
29.729272,37.83947,15.587,16.322
29.471285,37.757139,15.389,16.132
29.311388,37.890781,15.999,16.723
29.654522,37.687152,15.949,16.722
29.437672,37.90717,15.348,15.945
29.540964,37.625828,15.395,16.294
29.481755,37.5885,15.681,16.277
29.568462,37.840445,15.223,16.003
29.649472,37.768677,14.933,15.956
29.48449,37.971121,15.197,15.807
29.53544,37.747974,16.049,16.583
29.594747,37.66144,15.585,16.566
29.727873,37.807316,15.371,16.136
29.342647,37.981509,15.641,16.471
29.703069,37.783599,15.535,16.643
29.332889,37.621682,15.968,16.592
29.391636,37.808032,15.493,16.241
29.453742,37.695579,15.417,16.389
29.550489,38.075037,15.901,16.53
29.568871,37.66108,16.13,16.667
29.57554,37.604853,15.667,16.509
29.535758,37.92199,15.237,15.842
29.195124,37.777309,16.177,16.685
29.425955,37.796636,15.586,16.183
29.512091,37.706459,15.932,16.511
29.730219,37.617215,15.152,15.869
29.184621,37.879588,15.289,16.15
29.455677,37.810908,15.495,16.287
29.27674,37.65848,14.89,15.812
29.652867,37.784065,15.289,15.923
29.20566,37.931345,16.038,16.898
29.489289,38.025453,14.932,15.987
29.635612,38.040379,15.936,16.735
29.559677,38.05781,15.19,16
29.437151,37.722067,14.892,16.14
29.66247,37.605646,15.624,16.272
29.261618,37.80403,15.792,16.87
29.510985,37.577935,16.143,16.936
29.430624,37.945799,14.762,15.543
29.322087,37.775657,16.114,16.976
29.546264,37.798272,15.395,16.434
29.607826,37.763961,14.834,15.864
29.829609,37.825966,15.48,16.183
29.645538,37.839946,15.156,15.842
29.670143,38.042376,15.409,15.986
29.830086,37.777252,15.8,16.42
29.606029,37.755038,14.899,15.534
29.713733,37.949682,15.706,16.387
29.195929,37.675122,15.626,16.729
29.265896,37.9158,15.95,16.778
29.665547,37.913369,14.488,15.336
29.52037,37.614947,15.634,16.34
29.393841,37.595496,15.701,16.223
29.749078,37.921771,15.306,15.93
29.429372,37.708898,15.46,16.142
29.767623,37.837353,15.306,15.98
29.431323,37.917348,15.357,16.034
29.70521,37.971677,14.987,15.934
29.811298,37.78667,14.819,15.324
29.687841,37.742597,16.138,16.688
29.462295,37.717071,15.551,16.332
29.441985,38.07449,10.439,10.862
29.542798,37.589546,14.447,15.771
29.645663,37.936755,15.858,16.78
29.550629,37.732033,15.953,16.583
29.532681,37.610004,15.57,16.19
29.464278,37.664644,14.078,14.903
29.787419,37.893995,14.166,14.754
29.708185,37.996187,14.543,15.529
29.515492,37.979925,13.874,14.881
29.560135,37.689497,15.124,15.962
29.445067,37.983642,13.52,13.963
29.573996,37.564841,14.217,14.92
29.58565,38.046401,15.196,15.816
29.26962,37.959269,15.401,16.075
29.587739,38.009896,13.95,14.758
29.31314,38.04548,15.998,16.649
29.161546,37.74449,15.412,16.033
29.623856,37.837397,14.278,14.869
29.773982,37.66577,15.172,15.747
29.657642,38.010517,14.787,15.655
29.222501,37.897261,15.283,16.346
29.454116,38.03579,15.525,16.128
29.362912,38.039405,16.268,16.953
29.67487,37.668015,14.375,15.657
29.617926,37.942958,12.19,12.588
29.738816,37.661335,13.804,14.72
29.446396,38.047318,14.907,15.703
29.654151,37.921495,15.444,16.364
29.49015,37.850981,14.835,15.588
29.523227,37.577893,14.654,15.685
29.601517,37.86719,13.341,14.237
29.604898,37.979008,15.164,15.635
29.585757,38.053729,10.916,12.014
29.691195,37.677989,15.883,16.484
29.831567,37.767231,13.725,14.688
29.389544,37.833866,13.599,14.684
29.592997,37.722721,14.165,15.047
29.219367,37.814254,14.336,14.89
29.7005,37.766107,14.938,15.729
29.531888,38.008607,11.944,12.636
29.607968,37.946957,12.877,14.021
29.346734,37.629377,15.942,16.608
29.490276,37.812326,15.018,15.69
29.370334,37.783853,15.567,16.389
29.736386,37.832944,11.92,13.174
29.455811,37.878284,15.037,15.537
29.552359,38.066484,11.358,12.368
29.362547,37.975009,15.375,16.729
29.640231,38.007994,13.735,14.513
29.507139,37.749873,13.529,14.995
29.612493,37.876685,13.13,13.666
29.603679,37.591761,14.287,14.995
29.575593,37.949718,13.389,14.151
29.387634,37.557725,15.447,16.189
29.522029,38.004355,15.123,15.679
29.82519,37.830417,14,14.818
29.601909,37.776801,13.622,14.485
29.511584,38.041735,12.84,13.463
29.597999,37.729381,15.317,16.006
29.605356,37.748611,12.122,13.329
29.830619,37.845764,11.509,12.181
29.552893,37.57791,10.897,11.301
29.598669,38.026694,13.562,14.549
29.634306,37.586014,14.447,15.345
29.420269,38.057346,15.457,15.989
29.684846,37.644353,13.78,14.475
29.740347,37.640943,12.764,13.355
29.551082,37.543963,11.133,11.633
29.50647,37.831507,15.052,15.429
29.65854,37.989441,14.628,15.179
29.583213,37.885006,11.369,11.872
29.648071,38.044828,12.271,13.142
29.582673,37.611818,12.149,12.708
29.517612,37.836368,12.922,13.431
29.407293,37.830709,13.116,13.893
29.260087,37.829271,15.412,15.962
29.345226,37.881664,15.575,16.2
29.738959,37.732313,12.122,12.641
29.532088,37.665845,10.873,11.266
29.681038,37.904157,10.655,11.04
29.456457,37.820551,10.126,10.693
29.615261,37.867384,12.065,13.142
29.580472,37.888976,11.279,12.807
29.534057,37.828459,12.217,12.925
29.495179,37.690794,12.276,12.887
29.570532,37.648526,13.2,13.714
29.399647,37.973013,14.207,15.231
29.518667,37.84465,11.858,12.253
29.479971,37.879414,11.61,12.065
29.65613,37.915442,13.591,14.337
29.436433,37.988419,10.068,10.512
29.261145,37.75317,16.006,16.749
29.547562,37.65929,11.351,11.793
29.515524,37.786605,12.35,13.531
29.414404,37.873849,10.418,10.815
29.5559,37.740207,12.032,12.509
29.468449,38.052891,12.557,13.104
29.591647,37.556974,13.855,14.531
29.433202,37.861669,10.396,10.831
29.407016,37.816857,10.032,10.482
29.476555,37.716982,13.136,14.262
29.563817,37.555438,13.206,13.908
29.545278,37.710602,12.161,12.71
29.46432,37.884764,11.754,12.651
29.643357,37.670878,13.591,14.329
29.670164,37.913511,13.709,14.371
29.485169,37.833628,10.645,11.088
29.209124,37.918124,14.838,15.509
29.395006,37.627889,14.061,14.589
29.570267,37.637771,11.175,11.612
29.666928,37.634765,11.841,12.344
29.586851,37.685705,13.053,13.618
29.341226,37.613662,14.483,15.285
29.614976,37.589518,11.88,12.385
29.446407,37.791738,10.923,11.324
29.478657,37.798188,13.155,13.659
29.52618,37.635167,13.024,13.705
29.261652,37.948198,15.128,15.693
29.261047,38.006905,14.09,15.018
29.188023,37.796043,14.515,15.523
29.687719,37.945531,14.107,15.152
29.602155,37.963952,12.603,13.252
29.256462,37.646049,14.907,15.693
29.412151,37.762149,13.995,14.997
29.316295,37.903619,14.015,14.935
29.381895,37.684133,14.08,15.091
29.722848,37.986664,12.899,13.656
29.40827,37.791441,14.068,14.983
29.206306,37.801437,14.582,15.65
29.733378,37.936241,15.502,16.465
29.505571,37.760469,14.425,14.985
29.50106,37.953087,14.42,15.005
29.150905,37.791114,14.236,14.864
29.297487,37.643297,15.229,15.7
29.209886,37.970835,14.818,15.466
29.605214,37.874075,13.365,14.189
29.314942,37.629426,14.982,15.618
29.544952,37.982733,14.805,15.43
29.406278,38.060036,15.227,15.793
29.385682,37.701566,13.913,14.724
29.238053,37.946257,12.981,14.024
29.323653,37.835021,14.142,14.69
29.322055,37.905824,15.22,16.193
29.284218,37.802058,13.885,14.383
29.310053,37.833869,15.718,16.57
29.326533,37.876225,14.08,14.849
29.29325,37.887922,14.127,14.767
29.153634,37.753528,13.833,14.612
29.358986,37.682131,13.691,14.163
29.258221,37.985797,14.347,15.07
29.336443,37.710267,13.877,14.522
29.383596,37.961266,14.656,15.424
29.289795,37.854458,13.536,14.657
29.266796,37.619659,14.11,14.969
29.212292,37.948091,13.698,14.509
29.357965,37.861839,10.196,11.13
29.27161,38.005877,12.713,13.17
29.27278,37.845217,13.029,13.748
29.329048,37.652995,12.892,13.911
29.221724,37.675868,12.531,13.148
29.233847,37.986675,11.081,11.601
29.349146,37.869965,12.212,12.765
29.302639,37.655856,11.872,12.961
29.311286,37.90303,13.387,14.114
29.391958,37.774866,14.618,15.2
29.342852,37.606433,12.232,12.815
29.263241,37.929052,11.74,12.211
29.300678,37.934637,11.904,12.511
29.175241,37.81789,10.066,10.521
29.299886,37.699406,12.307,12.821
29.323551,37.888979,14.127,14.729
29.336342,37.861984,10.155,10.65
29.382685,37.894619,11.579,12.039
29.283639,37.815698,13.664,14.272
29.163413,37.861425,10.357,10.751
29.345735,37.639254,13.117,13.879
29.300473,37.968349,12.627,13.139
29.220998,37.869258,10.236,10.696
29.378844,37.916079,10.244,10.679
29.359019,37.6556,11.26,11.703
29.300429,37.903956,12.935,13.375
29.321703,37.681059,13.077,13.622
29.358331,37.722137,10.421,10.861
29.293171,37.606023,13.446,13.994
29.296726,37.6739,12.577,13.181
29.33088,37.989842,12.056,12.57
29.232358,37.79983,11.17,11.583
29.364471,37.586214,10.736,11.133
29.293679,38.035151,12.304,12.869
29.260381,37.885485,11.214,11.674
29.510193,37.671881,15.133,16.079
29.234766,37.664273,10.112,10.541
