radeg,decdeg,Johnson_V,Johnson_B
29.797659,37.701123,16.158,16.969
29.706839,37.90485,16.325,16.965
29.686451,37.755819,16.276,16.949
29.205715,37.931449,16.006,16.946
29.562225,37.823997,16.02,16.919
29.622411,37.631931,16.243,16.916
29.622342,37.631585,16.105,16.916
29.216604,37.740459,16.088,16.911
29.664266,37.656785,16.082,16.875
29.261626,37.803977,15.798,16.868
29.420668,37.64895,15.921,16.867
29.684955,37.692539,15.992,16.856
29.518389,37.603623,15.911,16.853
29.510441,37.577698,16.247,16.841
29.281768,37.966644,16.236,16.834
29.798089,37.692404,15.729,16.821
29.623561,38.020631,16.042,16.806
29.265872,37.915882,15.951,16.804
29.261222,37.753169,16.123,16.8
29.631644,37.679308,16.119,16.793
29.195964,37.675141,15.628,16.778
29.622808,37.6925,16.097,16.765
29.632325,37.967491,16.051,16.763
29.535348,37.748304,16.012,16.736
29.362292,37.974926,15.38,16.731
29.635778,38.040403,15.945,16.727
29.645478,37.936751,15.821,16.723
29.732377,37.746182,15.638,16.699
29.687802,37.742656,16.144,16.69
29.311485,37.890818,16.006,16.687
29.301055,37.66587,16.27,16.681
29.445332,37.636697,15.971,16.674
29.654546,37.686976,15.939,16.669
29.759586,37.78647,15.487,16.669
29.312825,38.045451,15.961,16.664
29.194974,37.777269,16.187,16.659
29.568974,37.661083,16.099,16.653
29.815851,37.873396,16.122,16.642
29.346608,37.629359,15.955,16.638
29.369773,38.000059,15.624,16.632
29.703027,37.783596,15.542,16.621
29.332793,37.621654,15.955,16.606
29.632419,37.967143,16.013,16.589
29.732623,37.746208,15.593,16.584
29.594752,37.661497,15.579,16.567
29.550691,37.732113,15.964,16.566
29.713671,37.94998,15.675,16.536
29.620684,37.729545,15.785,16.532
29.605278,38.055521,15.947,16.531
29.550438,38.034896,15.77,16.517
29.535397,37.748052,16.022,16.509
29.512044,37.7064,15.959,16.509
29.386584,37.557242,15.5,16.499
29.822106,37.879302,15.611,16.494
29.412063,37.685125,15.414,16.493
29.575751,37.605077,15.617,16.487
29.60817,38.033946,15.697,16.485
29.550624,38.074794,15.86,16.475
29.733319,37.936326,15.483,16.454
29.486219,37.758821,15.851,16.452
29.830145,37.777259,15.843,16.434
29.5029,37.776166,16.032,16.433
29.546268,37.798295,15.39,16.432
29.342774,37.981712,15.675,16.411
29.691268,37.677354,15.813,16.402
29.37032,37.783888,15.592,16.381
29.713814,37.949721,15.706,16.375
29.547076,37.879461,15.839,16.374
29.729234,37.839085,15.615,16.358
29.654249,37.921212,15.449,16.358
29.222486,37.897195,15.28,16.35
29.454043,37.695375,15.409,16.347
29.520421,37.614892,15.639,16.336
29.386983,37.557309,15.506,16.314
29.462163,37.71701,15.529,16.305
29.481747,37.588546,15.644,16.291
29.541006,37.6258,15.398,16.291
29.217587,37.914606,15.463,16.289
29.662482,37.605566,15.605,16.265
29.48159,37.588788,15.699,16.263
29.391945,37.807937,15.499,16.254
29.393664,37.595602,15.694,16.24
29.393803,37.59549,15.715,16.227
29.45577,37.811295,15.442,16.206
29.556166,37.563396,15.371,16.191
29.426045,37.79663,15.575,16.171
29.72808,37.808229,15.41,16.167
29.699193,37.815342,15.533,16.164
29.727617,37.808543,15.404,16.163
29.532719,37.610047,15.56,16.15
29.43714,37.722025,14.89,16.133
29.47119,37.757096,15.388,16.129
29.184559,37.879551,15.287,16.124
29.429422,37.708862,15.484,16.108
29.454133,38.035755,15.514,16.104
29.509747,37.671908,15.102,16.08
29.269646,37.959293,15.393,16.076
29.161462,37.74449,15.417,16.044
29.431307,37.917324,15.354,16.028
29.649306,37.768555,14.973,16
29.597923,37.729291,15.312,15.992
29.568462,37.840442,15.217,15.985
29.559739,38.057924,15.166,15.971
29.670186,38.04238,15.411,15.967
29.767599,37.83725,15.298,15.967
29.26013,37.829261,15.416,15.964
29.489315,38.025393,14.928,15.963
29.420383,38.057328,15.446,15.959
29.560096,37.689517,15.12,15.954
29.437769,37.907173,15.343,15.931
29.649381,37.768591,14.938,15.929
29.705213,37.971695,14.984,15.917
29.74909,37.921757,15.295,15.914
29.652906,37.784016,15.284,15.908
29.707252,37.691112,15.901,15.894
29.440399,37.70833,15.338,15.883
29.730277,37.617191,15.158,15.86
