radeg,decdeg,Johnson_V,Johnson_B
19.082134,58.721706,16.33,17.368
18.768817,58.594298,15.702,17.367
19.156683,58.610303,16.347,17.347
18.932068,58.661004,15.824,17.344
19.384813,58.66182,16.28,17.322
18.762563,58.577772,15.967,17.299
18.712786,58.630604,16.153,17.288
18.833233,58.718823,15.434,17.284
18.507914,58.861538,15.208,17.218
19.231208,58.656807,16.185,17.09
19.040574,58.571367,16.18,17.062
19.239141,58.600225,15.644,17.053
19.067893,58.572245,16.209,17.051
18.773354,58.641044,15.586,17.046
19.361661,58.645152,15.999,17.02
19.145919,58.579047,16.114,16.987
18.917186,58.57972,15.89,16.986
19.252867,58.65956,16.163,16.977
18.877638,58.724187,15.566,16.974
19.268805,58.709261,15.502,16.961
18.709843,58.720306,15.24,16.951
18.550753,58.68483,15.508,16.946
19.071494,58.561031,15.937,16.943
19.06171,58.583805,15.426,16.923
18.597058,58.728681,15.952,16.886
18.670523,59.000799,16.044,16.882
18.564692,58.742547,15.503,16.877
19.246633,59.012824,15.709,16.867
18.542182,58.718417,15.895,16.859
18.963011,58.57462,15.808,16.856
19.250218,58.699689,16.132,16.847
19.172174,58.773958,15.744,16.838
18.973505,58.680405,15.584,16.831
18.771298,58.641371,15.622,16.825
19.42552,58.90471,15.631,16.817
18.826497,58.566998,15.685,16.816
18.923381,58.825114,15.922,16.806
18.895661,58.726774,15.95,16.801
18.785136,58.720878,15.439,16.793
18.769993,58.927565,15.125,16.785
18.787163,58.904378,16.093,16.752
18.842487,58.57753,15.734,16.718
19.158283,58.581069,15.704,16.718
18.472088,58.797905,15.148,16.71
18.827592,58.63778,15.498,16.671
18.652608,58.912749,15.575,16.667
18.538287,58.710312,15.51,16.666
18.736315,58.827961,15.575,16.665
18.669738,58.846462,16.128,16.66
18.776416,59.009022,15.832,16.66
19.094777,58.574751,15.509,16.659
18.910723,58.680516,15.258,16.656
19.296786,58.649261,15.882,16.649
19.09039,58.621697,15.613,16.644
19.105116,58.685282,15.85,16.636
18.847533,58.723411,15.783,16.624
18.997121,59.014053,15.805,16.62
18.66902,58.87339,15.82,16.61
19.390407,58.71526,15.456,16.6
18.55434,58.855087,15.822,16.595
18.999624,58.689987,15.825,16.593
18.9241,58.638656,15.445,16.585
18.935824,58.560997,15.526,16.574
18.729096,58.680468,15.01,16.568
18.712991,58.938197,15.878,16.567
19.020572,58.556422,15.308,16.558
19.318043,59.008052,15.749,16.552
18.829819,58.893992,15.733,16.548
19.358802,58.726839,15.226,16.536
18.636338,58.952455,14.846,16.522
19.084686,58.608895,15.33,16.521
18.667384,58.880528,15.752,16.518
18.488234,58.87221,15.556,16.518
18.939914,59.051739,14.523,16.511
19.200186,58.712772,15.549,16.505
19.043175,58.64183,15.52,16.502
18.809056,58.900993,15.154,16.474
18.963488,58.58878,15.58,16.465
19.17303,58.716009,14.765,16.451
18.932428,58.582171,15.587,16.44
18.846287,59.063344,15.469,16.436
19.345687,58.964538,14.979,16.433
19.232595,58.859595,14.71,16.432
19.029597,59.002668,15.122,16.427
18.747312,58.919649,15.494,16.423
18.737159,58.892121,15.361,16.423
19.374216,58.981441,14.871,16.415
19.161168,58.588092,15.539,16.406
18.501165,58.910021,15.397,16.4
19.281977,58.803966,15.332,16.4
18.974418,58.576875,15.386,16.396
18.723607,58.90883,14.687,16.395
18.867131,58.575508,15.367,16.388
