radeg,decdeg,Johnson_V,Johnson_B
84.330136,34.190614,14.801,16.948
84.077749,33.907626,15.264,16.924
84.363681,34.106676,14.582,16.902
83.788147,34.070953,16.05,16.888
83.960321,33.990386,16.211,16.879
83.799435,34.029951,15.852,16.879
84.2618,34.096117,15.842,16.877
84.092751,34.07021,15.608,16.855
84.322212,34.126525,15.881,16.853
84.008401,33.925846,16.015,16.847
84.245308,33.993815,15.267,16.84
84.181851,34.296045,16.069,16.813
83.95832,34.069912,15.359,16.812
84.126661,33.859924,15.721,16.786
83.900714,33.973801,15.8,16.768
83.968606,34.291759,15.006,16.766
84.243935,34.210138,14.972,16.764
83.995377,34.245281,15.703,16.755
83.834006,34.105136,15.574,16.749
84.002399,34.048281,15.977,16.744
84.300155,34.022139,15.972,16.74
83.941778,34.315546,15.922,16.734
83.809899,34.045557,15.821,16.708
84.283217,34.312037,15.402,16.677
84.109879,34.335438,15.135,16.672
84.125486,34.361356,15.016,16.666
83.851492,33.99265,15.68,16.66
84.389459,34.111165,15.741,16.657
83.885817,33.947681,14.945,16.629
84.304965,34.04289,15.807,16.608
84.236887,34.118406,15.564,16.601
84.228805,34.274302,15.714,16.599
84.156807,33.975364,14.918,16.596
83.781107,34.06232,15.055,16.584
83.913606,34.158742,15.866,16.582
84.166229,33.88159,15.861,16.572
84.251171,34.126323,15.635,16.57
84.259798,34.193547,15.46,16.565
84.195655,33.985439,15.026,16.557
83.761041,34.027424,15.698,16.543
83.810247,34.107954,14.342,16.534
83.743197,34.046044,15.539,16.531
84.044641,34.027559,15.508,16.522
83.898206,34.214154,15.767,16.517
83.901105,34.138707,15.647,16.51
84.184619,34.14867,15.784,16.505
84.220655,34.106194,15.604,16.489
83.766741,34.043005,15.487,16.488
83.820547,34.011934,14.883,16.487
84.132668,34.069883,15.396,16.484
83.869457,34.040588,15.675,16.468
83.906028,34.283367,14.901,16.446
83.976525,34.150347,15.515,16.428
84.066127,34.064718,15.428,16.425
84.12393,34.248998,15.413,16.423
83.910052,33.973488,14.924,16.411
83.768512,34.0636,15.523,16.402
84.155246,34.094311,14.283,16.399
84.334492,34.05835,15.648,16.393
83.761976,34.059934,15.787,16.384
84.097571,34.088994,15.77,16.383
84.103927,34.03293,15.312,16.371
84.201396,34.025914,15.664,16.359
84.149624,34.223445,15.415,16.359
